,,,,,,,,,,,,,,,,
Course,Modality,Title,CRN,Instructor,Section Start Date,Section End Date,Section Meet Schedule,Section Meet Begin Time,Section Meet End Time,Section Building Code,Room,Cross-list Group,Cross Listed Section,CalGETC Attribute,Term Length,Class Hyperlink
ART-243-AX,FACE TO FACE,Watercolor IV,95150,"Iqbal, Bismillah",8/16/2026,12/19/2026,T,0910,1050,4-04,0241,CW,"ART-243-AX, ART-231-AX, ART-232-AX, ART-233-AX, ",,Full Term,https://webschedule.smccd.edu/course/202608/95150
ART-352-KX,FACE TO FACE,Interm.Black&White Photography,94682,"Kaneko, Hiroyo",8/16/2026,12/19/2026,T,1800,1850,4-04,0211,DA,"ART-352-KX, ART-353-KX, ART-391-KX, ART-392-KX, ART-393-KX, ART-394-KX, ",,Full Term,https://webschedule.smccd.edu/course/202608/94682
ART-417-CX,FACE TO FACE,Ceramic Glazing Techniques,99030,"Ichimura, Jeanne E.",8/16/2026,12/19/2026,M,1310,1400,4-04,0010,EZ,"ART-411-CX, ART-412-CX, ART-418-CX, ART-417-CX, ",,Full Term,https://webschedule.smccd.edu/course/202608/99030
ART-233-AX,FACE TO FACE,Watercolor III,95149,"Iqbal, Bismillah",8/16/2026,12/19/2026,T,0910,1050,4-04,0241,CW,"ART-243-AX, ART-231-AX, ART-232-AX, ART-233-AX, ",,Full Term,https://webschedule.smccd.edu/course/202608/95149
ART-254-DX,FACE TO FACE,Plein Air Painting III,96482,"Buchanan, Noah",8/16/2026,12/19/2026,T,1310,1450,4-04,0111,EY,"ART-203-DX, ART-253-DX, ART-254-DX, ART-255-DX, ",,Full Term,https://webschedule.smccd.edu/course/202608/96482
ART-255-DX,FACE TO FACE,Plein Air Painting IV,96483,"Buchanan, Noah",8/16/2026,12/19/2026,T,1310,1450,4-04,0111,EY,"ART-203-DX, ART-253-DX, ART-254-DX, ART-255-DX, ",,Full Term,https://webschedule.smccd.edu/course/202608/96483
ART-393-KX,FACE TO FACE,Experimental Photography 3,99014,"Kaneko, Hiroyo",8/16/2026,12/19/2026,T,1800,1850,4-04,0211,DA,"ART-352-KX, ART-353-KX, ART-391-KX, ART-392-KX, ART-393-KX, ART-394-KX, ",,Full Term,https://webschedule.smccd.edu/course/202608/99014
ART-394-KX,FACE TO FACE,Experimental Photography 4,99015,"Kaneko, Hiroyo",8/16/2026,12/19/2026,T,1800,1850,4-04,0211,DA,"ART-352-KX, ART-353-KX, ART-391-KX, ART-392-KX, ART-393-KX, ART-394-KX, ",,Full Term,https://webschedule.smccd.edu/course/202608/99015
ART-418-CX,FACE TO FACE,Ceramics III,97903,"Ichimura, Jeanne E.",8/16/2026,12/19/2026,M,1310,1400,4-04,0010,EZ,"ART-411-CX, ART-412-CX, ART-418-CX, ART-417-CX, ",,Full Term,https://webschedule.smccd.edu/course/202608/97903
ARTH-C1100-OLH,ONLINE,Survey of Art from Prehistory,98943,"Cortez, Cheyanne M.",8/16/2026,12/19/2026,       ,    ,    ,4-ONLN,0000,,,3A,Full Term,https://webschedule.smccd.edu/course/202608/98943
ARTH-C1200-AA,FACE TO FACE,Survy West Art: Ren to Contemp,98944,"Cortez, Cheyanne M.",8/16/2026,12/19/2026,MW,1110,1225,4-04,0135,,,3A,Full Term,https://webschedule.smccd.edu/course/202608/98944
ARTH-C1200-OLH,ONLINE,Survy West Art: Ren to Contemp,98947,"Gardini, Ashley L.",8/16/2026,12/19/2026,       ,    ,    ,4-ONLN,0000,,,3A,Full Term,https://webschedule.smccd.edu/course/202608/98947
ARTH-C1100-OMH,ONLINE,Survey of Art from Prehistory,98945,"Cortez, Cheyanne M.",8/16/2026,12/19/2026,       ,    ,    ,4-ONLN,0000,,,3A,Full Term,https://webschedule.smccd.edu/course/202608/98945
ARTH-C1100-AA,FACE TO FACE,Survey of Art from Prehistory,98942,"Cortez, Cheyanne M.",8/16/2026,12/19/2026,MW,0945,1100,4-04,0135,,,3A,Full Term,https://webschedule.smccd.edu/course/202608/98942
ARTH-C1100-ONH,ONLINE,Survey of Art from Prehistory,98946,"Cortez, Cheyanne M.",8/16/2026,12/19/2026,       ,    ,    ,4-ONLN,0000,,,3A,Full Term,https://webschedule.smccd.edu/course/202608/98946
DGME-100-OLH,ONLINE,Media in Society,93086,"Brown, Michelle M.",10/11/2026,12/19/2026,       ,    ,    ,4-ONLN,0000,,,4,9th Week Start Date,https://webschedule.smccd.edu/course/202608/93086
DGME-118-ZAH,ONLINE,Digital Audio Production,92900,"McCabe, Donna M.",8/16/2026,12/19/2026,T,1230,1335,4-ONLN,0000,,,,Full Term,https://webschedule.smccd.edu/course/202608/92900
DGME-164-AA,FACE TO FACE,User Interface/User Exp Design,95863,"Bennett, Diana L.",8/16/2026,12/19/2026,W,0910,1120,4-10,0182,,,,Full Term,https://webschedule.smccd.edu/course/202608/95863
DGME-113-HYX,HYBRID,Digital Video Production,96601,"Pitman, Andrew T.",8/16/2026,12/19/2026,R,0910,1025,4-10,0000 & 0182,EL,"DGME-113-HYX, DGME-114-HYX, ",,Full Term,https://webschedule.smccd.edu/course/202608/96601
DGME-215-HYA,HYBRID,History of Graphic Design,93115,"Van Dongen, Nico",8/16/2026,12/19/2026,T,1445,1600,4-10,0000 & 0182,,,3A,Full Term,https://webschedule.smccd.edu/course/202608/93115
DGME-211-AA,FACE TO FACE,Introduction to Graphic Design,92969,"Fainshtein, Vera",8/16/2026,12/19/2026,T,1310,1515,4-10,0163,,,,Full Term,https://webschedule.smccd.edu/course/202608/92969
DGME-102-OMH,ONLINE,Media Law & Ethics,93094,"Brown, Michelle M.",8/16/2026,12/19/2026,       ,    ,    ,4-ONLN,0000,,,4,Full Term,https://webschedule.smccd.edu/course/202608/93094
DGME-103-AA,FACE TO FACE,Fund of Two-Dimensional Design,92867,"Fainshtein, Vera",8/16/2026,12/19/2026,M,0945,1200,4-10,0163,,,,Full Term,https://webschedule.smccd.edu/course/202608/92867
DGME-100-AA,FACE TO FACE,Media in Society,97974,"Aquino, Jennifer E.",8/16/2026,12/19/2026,MW,0945,1100,4-14,0218,,,4,Full Term,https://webschedule.smccd.edu/course/202608/97974
DGME-119-OXH,ONLINE,Radio & Podcast Prod Lab,96088,"McCabe, Donna M.",8/16/2026,12/19/2026,       ,    ,    ,4-ONLN,0000,EV,"DGME-119-OXH, DGME-133-OXH, DGME-134-OXH, DGME-135-OXH, ",,Full Term,https://webschedule.smccd.edu/course/202608/96088
DGME-230-AA,FACE TO FACE,Production Design Print/Screen,92927,"Fainshtein, Vera",8/16/2026,12/19/2026,T,1010,1125,4-10,0163,,,,Full Term,https://webschedule.smccd.edu/course/202608/92927
DGME-100-HYA,HYBRID,Media in Society,98266,"Brown, Michelle M.",8/16/2026,12/19/2026,T,1010,1130,4-10,0000 & 0160,,,4,Full Term,https://webschedule.smccd.edu/course/202608/98266
DGME-107-OLH,ONLINE,Intro to Social Media,96924,"Fernandes, Fabio L.",10/11/2026,12/19/2026,       ,    ,    ,4-ONLN,0000,,,,9th Week Start Date,https://webschedule.smccd.edu/course/202608/96924
DGME-108-OLH,ONLINE,The TV World - A Critical View,98505,"Brown, Michelle M.",10/11/2026,12/19/2026,       ,    ,    ,4-ONLN,0000,,,,9th Week Start Date,https://webschedule.smccd.edu/course/202608/98505
DGME-100-OSH,ONLINE,Media in Society,98766,"Brown, Michelle M.",10/11/2026,12/19/2026,       ,    ,    ,4-ONLN,0000,,,4,9th Week Start Date,https://webschedule.smccd.edu/course/202608/98766
DGME-167-AA,FACE TO FACE,Web/Mobile Design I,93456,"Bennett, Diana L.",8/16/2026,12/19/2026,W,1310,1520,4-10,0182,,,,Full Term,https://webschedule.smccd.edu/course/202608/93456
DGME-100-OPH,ONLINE,Media in Society,98135,"McCabe, Donna M.",8/16/2026,12/19/2026,       ,    ,    ,4-ONLN,0000,,,4,Full Term,https://webschedule.smccd.edu/course/202608/98135
DGME-114-HYX,HYBRID,Digital Video Production II,98282,"Pitman, Andrew T.",8/16/2026,12/19/2026,R,0910,1025,4-10,0000 & 0182,EL,"DGME-113-HYX, DGME-114-HYX, ",,Full Term,https://webschedule.smccd.edu/course/202608/98282
DGME-175-AA,FACE TO FACE, Interaction Design,98960,"Travis, Steven S.",8/16/2026,12/19/2026,T,1310,1515,4-TBD,UNKN,,,,Full Term,https://webschedule.smccd.edu/course/202608/98960
DGME-100-ORH,ONLINE,Media in Society,98463,"Bennett, Diana L.",10/11/2026,12/19/2026,       ,    ,    ,4-ONLN,0000,,,4,9th Week Start Date,https://webschedule.smccd.edu/course/202608/98463
DGME-133-OXH,ONLINE,Radio & Podcast Prod. Lab II,96618,"McCabe, Donna M.",8/16/2026,12/19/2026,       ,    ,    ,4-ONLN,0000,EV,"DGME-119-OXH, DGME-133-OXH, DGME-134-OXH, DGME-135-OXH, ",,Full Term,https://webschedule.smccd.edu/course/202608/96618
DGME-169-OLH,ONLINE,Web/Mobile Desgn III:Mbl First,96603,"Bennett, Diana L.",10/11/2026,12/19/2026,       ,    ,    ,4-ONLN,0000,,,,9th Week Start Date,https://webschedule.smccd.edu/course/202608/96603
DGME-100-ONH,ONLINE,Media in Society,92299,"Bennett, Diana L.",10/11/2026,12/19/2026,       ,    ,    ,4-ONLN,0000,,,4,9th Week Start Date,https://webschedule.smccd.edu/course/202608/92299
DGME-134-OXH,ONLINE,Radio & Podcast Prod. Lab III,96925,"McCabe, Donna M.",8/16/2026,12/19/2026,       ,    ,    ,4-ONLN,0000,EV,"DGME-119-OXH, DGME-133-OXH, DGME-134-OXH, DGME-135-OXH, ",,Full Term,https://webschedule.smccd.edu/course/202608/96925
DGME-110-YJX,ONLINE,Photoshop Fundamentals,97734,"Fainshtein, Vera",8/30/2026,10/26/2026,M,1800,2000,4-ONLN,0000,,,,3rd Week Start Date,https://webschedule.smccd.edu/course/202608/97734
DGME-135-OXH,ONLINE,Radio & Podcast Prod. Lab IV,96926,"McCabe, Donna M.",8/16/2026,12/19/2026,       ,    ,    ,4-ONLN,0000,EV,"DGME-119-OXH, DGME-133-OXH, DGME-134-OXH, DGME-135-OXH, ",,Full Term,https://webschedule.smccd.edu/course/202608/96926
DGME-216-AB,FACE TO FACE,Intermediate Graphic Design,99031,"Fainshtein, Vera",10/11/2026,12/19/2026,M,1310,1535,4-10,0163,,,,9th Week Start Date,https://webschedule.smccd.edu/course/202608/99031
ECON-100-OMH,ONLINE,Principles of Macroeconomics,83267,"Lehigh, Steven M.",8/16/2026,12/19/2026,       ,    ,    ,4-ONLN,0000,,,4,Full Term,https://webschedule.smccd.edu/course/202608/83267
ECON-102-BB,FACE TO FACE,Principles of Microeconomics,82143,"Cockrum, Guillermo D.",8/16/2026,12/19/2026,TR,1110,1225,4-16,0209,,,4,Full Term,https://webschedule.smccd.edu/course/202608/82143
ECON-102-OMH,ONLINE,Principles of Microeconomics,93255,"Lehigh, Steven M.",8/16/2026,12/19/2026,       ,    ,    ,4-ONLN,0000,,,4,Full Term,https://webschedule.smccd.edu/course/202608/93255
ECON-100-AA,FACE TO FACE,Principles of Macroeconomics,97188,"Lehigh, Steven M.",8/16/2026,12/19/2026,MW,0945,1100,4-14,0117,,,4,Full Term,https://webschedule.smccd.edu/course/202608/97188
ECON-102-AA,FACE TO FACE,Principles of Microeconomics,89632,"Lehigh, Steven M.",8/16/2026,12/19/2026,MW,1110,1225,4-14,0117,,,4,Full Term,https://webschedule.smccd.edu/course/202608/89632
ECON-102-OLH,ONLINE,Principles of Microeconomics,92239,"Shokouhbakhsh, Ali A.",8/16/2026,12/19/2026,       ,    ,    ,4-ONLN,0000,,,4,Full Term,https://webschedule.smccd.edu/course/202608/92239
ECON-100-ONH,ONLINE,Principles of Macroeconomics,82136,"Lehigh, Steven M.",8/16/2026,12/19/2026,       ,    ,    ,4-ONLN,0000,,,4,Full Term,https://webschedule.smccd.edu/course/202608/82136
