,,,,,,,,,,,,,,,,
Course,Modality,Title,CRN,Instructor,Section Start Date,Section End Date,Section Meet Schedule,Section Meet Begin Time,Section Meet End Time,Section Building Code,Room,Cross-list Group,Cross Listed Section,CalGETC Attribute,Term Length,Class Hyperlink
PSYC-100-ONH,ONLINE,Introduction to Psychology,96607,"Clifford Jr, James O.",10/11/2026,12/19/2026,       ,    ,    ,4-ONLN,0000,,,4,9th Week Start Date,https://webschedule.smccd.edu/course/202608/96607
PSYC-121-OMH,ONLINE,Basic Statistical Concepts,98423,"Basil, Trevor W.",10/11/2026,12/19/2026,       ,    ,    ,4-ONLN,0000,,,,9th Week Start Date,https://webschedule.smccd.edu/course/202608/98423
PSYC-110-ONH,ONLINE,"Courtship, Marriage & Family",82856,"Firpo, Catherine M.",10/11/2026,12/19/2026,       ,    ,    ,4-ONLN,0000,,,4,9th Week Start Date,https://webschedule.smccd.edu/course/202608/82856
PSYC-100-OPH,ONLINE,Introduction to Psychology,82837,"Clifford Jr, James O.",8/16/2026,12/19/2026,       ,    ,    ,4-ONLN,0000,,,4,Full Term,https://webschedule.smccd.edu/course/202608/82837
PSYC-100-OUH,ONLINE,Introduction to Psychology,98740,"Clifford Jr, James O.",10/11/2026,12/19/2026,       ,    ,    ,4-ONLN,0000,,,4,9th Week Start Date,https://webschedule.smccd.edu/course/202608/98740
PSYC-105-OLH,ONLINE,Experimental Psychology,98433,"Clifford Jr, James O.",10/11/2026,12/19/2026,       ,    ,    ,4-ONLN,0000,,,4,9th Week Start Date,https://webschedule.smccd.edu/course/202608/98433
PSYC-100-OSH,ONLINE,Introduction to Psychology,82847,"Trafalis, Sandra",10/11/2026,12/19/2026,       ,    ,    ,4-ONLN,0000,,,4,9th Week Start Date,https://webschedule.smccd.edu/course/202608/82847
SOCI-105-OLH,ONLINE,Social Problems,95572,"Lusk, Jeniece T.",8/16/2026,12/19/2026,       ,    ,    ,4-ONLN,0000,,,4,Full Term,https://webschedule.smccd.edu/course/202608/95572
SOCI-100-HYB,HYBRID,Introduction to Sociology,82941,"Mathur, Minu",8/16/2026,12/19/2026,M,1110,1225,4-10,0000 & 0192,,,4,Full Term,https://webschedule.smccd.edu/course/202608/82941
SOCI-160-OLH,ONLINE,Sociology of Sex and Gender,96919,"Womack, Malia L.",8/16/2026,12/19/2026,       ,    ,    ,4-ONLN,0000,,,4,Full Term,https://webschedule.smccd.edu/course/202608/96919
SOCI-100-OLH,ONLINE,Introduction to Sociology,93241,"Mathur, Minu",8/16/2026,12/19/2026,       ,    ,    ,4-ONLN,0000,,,4,Full Term,https://webschedule.smccd.edu/course/202608/93241
SOCI-100-HYC,HYBRID,Introduction to Sociology,82940,"Mathur, Minu",8/16/2026,12/19/2026,M,0945,1100,4-10,0000 & 0192,,,4,Full Term,https://webschedule.smccd.edu/course/202608/82940
SOCI-100-HYD,HYBRID,Introduction to Sociology,86173,"Mathur, Minu",8/16/2026,12/19/2026,T,0945,1100,4-10,0000 & 0192,,,4,Full Term,https://webschedule.smccd.edu/course/202608/86173
SOCI-100-ONH,ONLINE,Introduction to Sociology,82937,"Mathur, Minu",8/16/2026,12/19/2026,       ,    ,    ,4-ONLN,0000,,,4,Full Term,https://webschedule.smccd.edu/course/202608/82937
SOCI-100-OPH,ONLINE,Introduction to Sociology,90372,"Mathur, Minu",10/11/2026,12/19/2026,       ,    ,    ,4-ONLN,0000,,,4,9th Week Start Date,https://webschedule.smccd.edu/course/202608/90372
SOCI-100-ORH,ONLINE,Introduction to Sociology,97907,"Mathur, Minu",10/11/2026,12/19/2026,       ,    ,    ,4-ONLN,0000,,,4,9th Week Start Date,https://webschedule.smccd.edu/course/202608/97907
